PlayerId,Number,Name,PositionId,BirthDate,Nationality,Height,FootId,Value,ValueUnitId,Age,TeamId
1,1,Fernando Muslera,1,16 Haz 1986,Uruguay,"1,90m",2,1.5,2,37,1
2,19,Günay Güvenç,1,25 Haz 1991,Türkiye,"1,87m",2,1.5,2,32,1
3,50,Jankat Yılmaz,1,16 Ağu 2004,Türkiye,"1,88m",1,200,1,19,1
4,12,Atakan Ordu,1,29-Mar-05,Türkiye,"1,90m",2,50,1,18,1
5,25,Victor Nelsson,2,14 Eki 1998,Danimarka,"1,85m",2,19,2,25,1
6,6,Davinson Sánchez,2,12 Haz 1996,Kolombiya,"1,87m",2,14,2,27,1
7,42,Abdülkerim Bardakcı,2,7 Eyl 1994,Türkiye,"1,85m",1,7.5,2,29,1
8,23,Kaan Ayhan,2,10 Kas 1994,Türkiye,"1,85m",2,3.7,2,28,1
9,58,Ali Yeşilyurt,2,30 Tem 2005,Türkiye,"1,92m",2,50,1,18,1
10,3,Angeliño,3,4 Oca 1997,İspanya,"1,71m",1,11,2,26,1
11,88,Kazımcan Karataş,3,16 Oca 2003,Türkiye,"1,82m",1,2.4,2,20,1
12,93,Sacha Boey,4,13 Eyl 2000,Fransa,"1,78m",2,17,2,23,1
13,58,Ali Turap Bülbül,4,25 Oca 2005,Türkiye,"1,79m",2,100,1,18,1
14,34,Lucas Torreira,5,11 Şub 1996,Uruguay,"1,66m",2,15,2,27,1
15,5,Eyüp Aydın,5,2 Ağu 2004,Almanya,"1,81m",1,800,1,19,1
16,83,Efe Akman,5,20-Mar-06,Türkiye,-,2,100,1,17,1
17,91,Tanguy Ndombélé,6,28 Ara 1996,Fransa,"1,81m",2,21,2,26,1
18,8,Kerem Demirbay,6,3 Tem 1993,Almanya,"1,83m",1,6,2,30,1
19,27,Sérgio Oliveira,6,2 Haz 1992,Portekiz,"1,81m",2,6,2,31,1
20,81,Hamza Akman,6,27 Eyl 2004,Türkiye,"1,70m",2,325,1,19,1
21,22,Hakim Ziyech,7,19-Mar-93,Fas,"1,81m",1,15,2,30,1
22,14,Wilfried Zaha,8,10 Kas 1992,Fildişi Sahili,"1,80m",2,20,2,30,1
23,7,Kerem Aktürkoğlu,8,21 Eki 1998,Türkiye,"1,73m",2,17,2,24,1
24,20,Tetê,9,15 Şub 2000,Brezilya,"1,75m",1,24,2,23,1
25,53,Barış Alper Yılmaz,9,23-May-00,Türkiye,"1,86m",2,5.5,2,23,1
26,10,Dries Mertens,10,6-May-87,Belçika,"1,69m",2,2.6,2,36,1
27,9,Mauro Icardi,11,19 Şub 1993,Arjantin,"1,81m",2,20,2,30,1
28,94,Cédric Bakambu,11,11 Nis 1991,Kongo DC,"1,82m",2,3.4,2,32,1
29,21,Halil Dervişoğlu,11,8 Ara 1999,Türkiye,"1,83m",2,1.8,2,23,1
30,56,Baran Demiroğlu,11,2-May-05,Türkiye,-,2,50,1,18,1
31,40,Dominik Livakovic,1,9 Oca 1995,Hırvatistan,"1,88m",2,12,2,28,2
32,70,İrfan Can Eğribayat,1,30 Haz 1998,Türkiye,"1,93m",2,2,2,25,2
33,97,Furkan Akyüz,1,21 Eyl 2005,Türkiye,"1,91m",2,50,1,18,2
34,50,Rodrigo Becão,2,19 Oca 1996,Brezilya,"1,91m",2,11,2,27,2
35,6,Alexander Djiku,2,9 Ağu 1994,Gana,"1,82m",2,8,2,29,2
36,14,Luan Peres,2,19 Tem 1994,Brezilya,"1,90m",1,4,2,29,2
37,3,Samet Akaydin,2,13-Mar-94,Türkiye,"1,90m",2,3.1,2,29,2
38,4,Serdar Aziz,2,23 Eki 1990,Türkiye,"1,83m",2,1.7,2,32,2
39,7,Ferdi Kadıoğlu,3,7 Eki 1999,Türkiye,"1,74m",2,17,2,24,2
40,24,Jayden Oosterwolde,3,26 Nis 2001,Hollanda,"1,89m",1,5.5,2,22,2
41,21,Bright Osayi-Samuel,4,31 Ara 1997,Nijerya,"1,75m",2,7.5,2,25,2
42,16,Mert Müldür,4,3 Nis 1999,Türkiye,"1,84m",2,4.5,2,24,2
43,5,İsmail Yüksek,5,26 Oca 1999,Türkiye,"1,83m",2,5.5,2,24,2
44,28,Bartuğ Elmaz,5,19 Şub 2003,Türkiye,"1,79m",2,800,1,20,2
45,35,Fred,6,5-Mar-93,Brezilya,"1,69m",1,20,2,30,2
46,27,Miguel Crespo,6,11 Eyl 1996,Portekiz,"1,86m",2,6,2,27,2
47,26,Miha Zajc,6,1 Tem 1994,Slovenya,"1,78m",2,5,2,29,2
48,8,Mert Hakan Yandaş,6,19 Ağu 1994,Türkiye,"1,74m",2,2.2,2,29,2
49,53,Sebastian Szymanski,7,10-May-99,Polonya,"1,74m",1,18,2,24,2
50,18,Lincoln,7,7 Kas 1998,Brezilya,"1,78m",1,4,2,24,2
51,11,Ryan Kent,8,11 Kas 1996,İngiltere,"1,76m",2,8,2,26,2
52,10,Dusan Tadic,8,20 Kas 1988,Sırbistan,"1,81m",1,5.5,2,34,2
53,20,Cengiz Ünder,9,14 Tem 1997,Türkiye,"1,73m",1,20,2,26,2
54,17,İrfan Can Kahveci,9,15 Tem 1995,Türkiye,"1,76m",1,7.5,2,28,2
55,99,Emre Mor,9,24 Tem 1997,Türkiye,"1,69m",1,3.3,2,26,2
56,23,Michy Batshuayi,11,2 Eki 1993,Belçika,"1,85m",2,9,2,30,2
57,15,Joshua King,11,15 Oca 1992,Norveç,"1,87m",2,4.1,2,31,2
58,9,Edin Dzeko,11,17-Mar-86,Bosna-Hersek,"1,93m",2,4,2,37,2
59,22,Umut Nayir,11,28 Haz 1993,Türkiye,"1,91m",2,1.3,2,30,2
60,1,Ersin Destanoğlu,1,1 Oca 2001,Türkiye,"1,95m",2,3.5,2,22,3
61,34,Mert Günok,1,1-Mar-89,Türkiye,"1,96m",2,1.5,2,34,3
62,94,Göktuğ Baytekin,1,20 Kas 2004,Türkiye,"1,86m",2,100,1,18,3
63,97,Utku Yuvakuran,1,2 Kas 1997,Türkiye,"1,92m",2,50,1,25,3
64,12,Daniel Amartey,2,21 Ara 1994,Gana,"1,86m",2,12,2,28,3
65,5,Tayyip Talha Sanuç,2,17 Ara 1999,Türkiye,"1,88m",2,4.2,2,23,3
66,30,Eric Bailly,2,12 Nis 1994,Fildişi Sahili,"1,87m",2,4,2,29,3
67,6,Omar Colley,2,24 Eki 1992,Gambiya,"1,91m",1,3.8,2,30,3
68,14,Emrecan Uzunhan,2,26 Şub 2001,Türkiye,"1,89m",1,1.4,2,22,3
69,20,Necip Uysal,2,24 Oca 1991,Türkiye,"1,80m",2,600,1,32,3
70,26,Arthur Masuaku,3,7 Kas 1993,Kongo DC,"1,79m",1,6,2,29,3
71,77,Umut Meraş,3,20 Ara 1995,Türkiye,"1,78m",1,750,1,27,3
72,24,Valentin Rosier,4,19 Ağu 1996,Fransa,"1,75m",2,6,2,27,3
73,4,Onur Bulut,4,16 Nis 1994,Türkiye,"1,79m",2,3.8,2,29,3
74,75,Tayfur Bingöl,4,11 Oca 1993,Türkiye,"1,80m",2,1.5,2,30,3
75,19,Amir Hadziahmetovic,5,8-Mar-97,Bosna-Hersek,"1,79m",2,8,2,26,3
76,71,Jean Onana,5,8 Oca 2000,Kamerun,"1,89m",2,4.8,2,23,3
77,88,Gökhan İnler,5,27 Haz 1984,İsviçre,"1,83m",3,150,1,39,3
78,83,Gedson Fernandes,6,9 Oca 1999,Portekiz,"1,83m",2,17,2,24,3
79,15,Alex Oxlade-Chamberlain,6,15 Ağu 1993,İngiltere,"1,80m",2,6,2,30,3
80,8,Salih Uçan,6,6 Oca 1994,Türkiye,"1,82m",2,5,2,29,3
81,21,Ege Tıknaz,6,17 Ağu 2004,Türkiye,"1,93m",2,450,1,19,3
82,22,Bakhtiyor Zaynutdinov,7,2 Nis 1998,Kazakistan,"1,83m",1,6.5,2,25,3
83,7,Ante Rebic,8,21 Eyl 1993,Hırvatistan,"1,85m",2,5,2,30,3
84,40,Jackson Muleka,8,4 Eki 1999,Kongo DC,"1,80m",2,4.5,2,24,3
85,99,Emrecan Bulut,8,26 Kas 2002,Türkiye,"1,85m",2,250,1,20,3
86,11,Milot Rashica,9,28 Haz 1996,Kosova,"1,78m",2,8.5,2,27,3
87,18,Rachid Ghezzal,9,9-May-92,Cezayir,"1,82m",1,4,2,31,3
88,27,Emirhan Delibaş,9,1 Oca 2003,Türkiye,-,1,50,1,20,3
89,10,Vincent Aboubakar,11,22 Oca 1992,Kamerun,"1,84m",2,7,2,31,3
90,9,Cenk Tosun,11,7 Haz 1991,Türkiye,"1,83m",2,3,2,32,3
91,90,Semih Kılıçsoy,11,15 Ağu 2005,Türkiye,"1,78m",2,375,1,18,3
92,1,Uğurcan Çakır,1,5 Nis 1996,Türkiye,"1,91m",2,9,2,27,4
93,25,Onuralp Çevikkan,1,2 Oca 2006,Türkiye,"1,90m",2,700,1,17,4
94,54,Taha Tepe,1,1 Oca 2001,Türkiye,"1,86m",2,150,1,22,4
95,98,Kağan Moradaoğlu,1,10 Oca 2003,Türkiye,"1,93m",2,75,1,20,4
96,2,Rayyan Baniya,2,18 Şub 1999,Türkiye,"1,94m",2,3.5,2,24,4
97,24,Stefano Denswil,2,7-May-93,Surinam,"1,88m",1,3,2,30,4
98,32,Filip Benkovic,2,13 Tem 1997,Hırvatistan,"1,94m",2,2.8,2,26,4
99,3,Joaquín Fernández,2,31-May-96,İspanya,"1,90m",1,2.7,2,27,4
100,4,Hüseyin Türkmen,2,1 Oca 1998,Türkiye,"1,83m",2,700,1,25,4
101,18,Eren Elmalı,3,7 Tem 2000,Türkiye,"1,80m",1,3.7,2,23,4
102,73,Arif Boşluk,3,6 Haz 2003,Türkiye,"1,84m",1,425,1,20,4
103,50,Mehmet Aydın,4,9 Şub 2002,Türkiye,"1,80m",2,1.7,2,21,4
104,19,Jens Stryger Larsen,4,21 Şub 1991,Danimarka,"1,82m",2,1.6,2,32,4
