Id,Name,PlayerCount,AverageAge,ForeignAmount,UnitId,MarketValue,LeagueId,StadiumId
1,Galatasaray,30,25.3,16,2,236.58,1,2
2,Fenerbahçe,29,27.1,16,2,200.55,1,3
3,Beşiktaş JK,32,26.7,16,2,129.78,1,4
4,Trabzonspor,32,25.2,16,2,125.35,1,6
5,İstanbul Başakşehir FK,34,25.4,16,2,60.2,1,15
6,Adana Demirspor,32,26.6,17,2,45.9,1,9
7,Samsunspor,31,26.2,15,2,34.5,1,7
8,Antalyaspor,34,25.8,15,2,31.43,1,11
9,MKE Ankaragücü,28,26.6,17,2,30.45,1,14
10,Konyaspor,29,26.6,12,2,29.93,1,5
11,Alanyaspor,29,25.3,13,2,28.65,1,18
12,Kayserispor,30,25.4,14,2,27.83,1,10
13,Çaykur Rizespor,36,23.9,18,2,27.83,1,16
14,Fatih Karagümrük,28,26.7,16,2,25.1,1,1
15,Pendikspor,28,29,14,2,24.85,1,20
16,Hatayspor,30,24.2,15,2,21.38,1,13
17,Gaziantep FK,31,26.7,15,2,20.88,1,8
18,Kasımpaşa,24,25.4,11,2,20.1,1,17
19,Sivasspor,28,28.4,13,2,18.28,1,12
20,İstanbulspor,31,25.4,14,2,13.33,1,19
21,Göztepe,31,24.6,12,2,12.55,2,26
22,Eyüpspor,27,28,11,2,12.35,2,35
23,Kocaelispor,28,27.4,7,2,9.65,2,21
24,Bandırmaspor,31,27.7,13,2,9.28,2,29
25,Bodrum FK,28,26.3,9,2,8.49,2,31
26,Ümraniyespor,29,25.3,10,2,7.93,2,33
27,Manisa FK,30,25.8,10,2,7.83,2,34
28,Sakaryaspor,27,27.7,10,2,7.05,2,23
29,Tuzlaspor,40,25.3,13,2,6.1,2,36
30,Çorum FK,31,26.9,7,2,6.01,2,28
31,Şanlıurfaspor,26,25.1,10,2,5.94,2,22
32,Gençlerbirliği SK,29,27,9,2,5.6,2,14
33,Boluspor,26,25.5,8,2,5.5,2,30
34,Ankara Keçiörengücü,28,24.1,10,2,5.28,2,32
35,Adanaspor,31,23.5,9,2,5.06,2,9
36,Altay SK,30,25.3,1,2,3.35,2,27
37,Giresunspor,31,21.2,3,2,2.95,2,24
38,Erzurumspor FK,32,24.9,4,2,2.8,2,25
39,1461 Trabzon FK,29,25.1,0,2,3.95,3,53
40,Esenler Erokspor,26,28.1,0,2,3.04,3,45
41,Van Spor FK,30,24.4,0,2,2.9,3,42
42,Ankaraspor,31,24.1,0,2,2.82,3,39
43,Bucaspor 1928,26,27.4,0,2,2.78,3,43
44,Altınordu FK,28,21.8,0,2,2.65,3,52
45,Diyarbekir Spor,30,25.7,1,2,2.4,3,38
46,Serik Belediyespor,25,26.2,0,2,2.1,3,48
47,Bursaspor,29,19.6,0,2,2.06,3,37
48,Kırklarelispor,28,24.9,0,2,1.77,3,47
49,Zonguldak Kömürspor,33,24.2,1,2,1.69,3,41
50,Afyonspor,33,23,1,2,1.65,3,40
51,Kırşehir Futbol Spor Kulübü,29,24.9,0,2,1.3,3,44
52,Ankara Demirspor,25,24.4,0,2,1.21,3,49
53,Beyoğlu Yeni Çarşı FK,27,22.7,0,2,1.15,3,51
54,Yeni Mersin İdmanyurdu,26,26,2,2,1.1,3,13
55,Nazilli Belediyespor,37,22.7,0,2,1.04,3,46
56,Karacabey Belediye Spor,26,24.5,0,1,785,3,50
57,Adıyaman FK,31,23.6,0,1,760,3,54
58,Menemen FK,31,25,1,2,3.93,4,66
59,Iğdır FK,27,27.1,1,2,3.45,4,72
60,İskenderunspor,26,25.5,1,2,3.15,4,60
61,İnegölspor,29,23.9,0,2,2.7,4,68
62,Amed SK,26,25.4,0,2,2.51,4,38
63,Fethiyespor,27,25.2,1,2,2.47,4,59
64,GMG Kastamonuspor,23,26.3,0,2,2.3,4,67
65,Sarıyer,29,25.8,2,2,2.14,4,64
66,Karaman FK,26,23.6,1,2,2.13,4,56
67,Isparta 32 Spor,31,23.6,1,2,2.07,4,58
68,Arnavutköy Belediyesi Gençlik Ve Spor,28,23.5,1,2,1.98,4,71
69,Etimesgut Belediyespor,27,26.1,0,2,1.84,4,69
70,24 Erzincanspor,26,26.2,3,2,1.78,4,57
71,68 Aksaray Belediye Spor,27,25.2,1,2,1.69,4,61
72,Düzcespor,27,26.7,2,2,1.51,4,65
73,Denizlispor,27,21.1,0,2,1.24,4,55
74,Belediye Derince Spor,28,26,2,2,1.16,4,70
75,Somaspor,28,21,0,2,1.05,4,62
76,Uşak Spor,34,22.7,1,1,755,4,63
